file,articleType,baseColour,n_garments,notes
1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,Dresses,Navy Blue,1,"worn on model, indoor scene; dress fills the frame"
25637193-carousel-block-earrings-v1.webp,Earrings,Gold,1,"gold and baroque pearl drop earrings, plain backdrop"
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,none,,0,Pikachu sticker; not clothing
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,Socks,White,1,"three pairs of the same crew sock, product shot"
4130636080047_004_b14.webp,none,,4,"street style; scarf, sweater, skirt and shoes all prominent"
4793e3cb1e694edeb25651fb1ae578e6.jpg,Ties,Grey,2,tie knotted over a gingham shirt; the tie is the subject
509.png,none,,0,cartoon cat; not clothing
600_google-pattern-socks.jpg,Socks,White,1,"white socks with coloured shapes, product shot"
83123110.webp,Earrings,Gold,1,gold and black sphere drop earrings
ae9d94dee29112613a6fae774382a2d4.jpg,Jackets,Yellow,4,"toddler outdoors; yellow coat dominates, also hat, jeans, boots"
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,Dresses,Blue,1,period ensemble on a museum mannequin; reads as one dress
Collier_ruban_or_vermeil_2.webp,Necklace and Chains,Gold,1,"gold chain worn at the neck, skin background"
d8ff992811e561202194328c9562a843.jpg,none,,0,sleep eye masks; no catalogue articleType covers them
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,Casual Shoes,White,2,"AMBIGUOUS: rubber clogs worn with socks, Casual Shoes vs Sandals"
images (1).jpg,Dresses,Mustard,1,"belted t-shirt dress on model, studio backdrop"
images (10).jpg,Sports Shoes,Teal,2,running shoes worn with white socks
images (11).jpg,Handbags,Olive,1,satin drawstring bag held by a seated model
images (2).jpg,none,,6,flat-lay of six separate products; no single garment
images (3).jpg,Caps,Khaki,1,"IMPERFECT FIT: wide-brim boonie hat, Caps is the nearest class"
images (4).jpg,Pendant,Silver,1,"butterfly pendant on a fine chain, worn"
images (5).jpg,Necklace and Chains,Silver,1,"diamond-set necklace, product shot on white"
images (6).jpg,Heels,Pink,1,"block-heel bow pumps; colour sits between Pink, Mauve and Lavender"
images (7).jpg,Ties,Red,1,"striped necktie being knotted, living room behind"
images (8).jpg,Earrings,Gold,1,gold hoop earrings on blue fabric
images (9).jpg,Casual Shoes,Navy Blue,1,"AMBIGUOUS: slip-on knit sneaker, Casual Shoes vs Sports Shoes"
images.jpg,none,,4,"street style; shirt, skirt, cap and bag all prominent"
istockphoto-1018293976-612x612.jpg,none,,3,"studio shot; sweater and trousers are co-equal, neither dominates"
mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,Jackets,Brown,2,brown suit on a runway; the jacket dominates the frame
nike-5644799_640.jpg,Casual Shoes,Yellow,1,"AMBIGUOUS: Nike Dunk high, Casual Shoes vs Sports Shoes"
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,none,,3,"lookbook shot; shirt and shorts are co-equal, two product codes listed"
The_dress_blueblackwhitegold.jpg,Dresses,Blue,1,the viral colour-illusion photograph; baseColour is genuinely contested
